,المصنع الحديث للسخانات, 0114486898, 0114469756, m.aldosary@aljazierah.com
2138,Al Jazeerah Appliances Factory, 0114489868, 0114469759, m.aldosary@al-jazierah.com
2139,AL JAZEERA FACTORY FOR HOME APPLIANCES, 0114980761, 0114980042, a0505448817@hotmail.com
2140,AL JAZEERA CO, 0126081251, 026081251, carpet2@al-sorayai.com
2141,Al Jazeera Plastic Products Factory, 0126080960, 026080960, khaled99988@yahoo.com
2143,Al Jazeera Plastic Products Factory, 0112651531, 0112651530, yahya.allan@falconplastic.com.s
2144,AL JAZEERI CLEANING FACTORY, 0135332652, 035332652, aljazirirags@hotmail.com
2145,Al - Joaib Furniture Factory, 0138472661, 0138471428, fahad@yousefia.com
2146,Al Joaib Plastic & Packaging Factory, 0138471428, 0138471428, khalifas@joaib.com
2150,Al Joaib Plastic & Rubber Factory , 0138471428, 0138471428, khalifas@joaib.com
2151,Al Jalsi Factory for Pies, 0126722719, 0126722719, kj7773@hotmail.com
2152,National galvanizing and coating factory, 0138984045, 0138990114, hdjh@h.com
2153,Jumjoom Tiles Factory, 0126380654, 026380654, mjamjoom@hotmail.com
2154,Al - Jumaih Factory for the production of cans, 0112652381, 0112651696, HTAHER@aljomaihbev.com
2157,Al Jomaih Factory for the manufacture of car boxes and refrigerators, 0114763824, 0112919701, headoffice@aljomaih.com.sa
2158,SOUTH WIRE AND NAILS FACTORY, 0172382721, 072382721, info@unitedwires.com.sa
2159,Al Jawad Zain Cosmetics Factory, 0126195594, 026195594, aljawadzain@gmail.com
2160,Al Jawad Tires Factory, 0126081012, 026081012, info@aljawdretread.com
2162,Al Jawad Plastic & Polypropylene Factory, 0135341199, 035341199, jawad.plastic@aljawadgroup.net
2163,Quality Factory for the production of plastic pipes , 0112650228, 0112650160, info@aljawdahgroup.com
2165,Quality Factory for Ceramic Industry , 0112650228, 0112650159, info@aljawdahgroup.com
2167,Al Jawhara Cement Factory, 0148240947, 048240947, m.ahmad.m@hotmail.com
2168,Al - Hazem Metal Industries Factory, 0148224621, 048224621, info@alhazem.com
2169,Al - Hazem Metal & Rolling Industries Factory, 0148224621, 048224621, info@alhazem.com
2170,Saudi Plastic Storage Factory, 0126080308, 026080308, ashafa@sasa-salt.com
2172,AL HRAFI MAHAR INDUSTRIES FOR WOODEN INDUSTRIES , 0138902217, 0138902218, hdjh@h.com
2174,Al Haramain Aluminum & Metal Factory, 0126376643, 026376643, haramainco@hotmail.com
2176,Green Belt Factory For Ready Made Concrete, 0173130032, 073130032, mhmh2012@windowslive.com
2177,AL HASSAMIA FIBERGLASS FACTORY, 0138121451, 0138121420, hussam.ms@hotmail.com
2178,AL HUSNEYA ​​FACTORY , 0172381614, 072381614, hasaniahfoams@yahoo.com
2180,Al - Hasaniah Tiles Factory, 0172382701, 072382701, alhasaniah.factory@hotmail.com
2181,Al Haseiki Ready Made Garments Factory, 0114980646, 0114983955, info@alhusaiki.net
2182,Eastern Horse Factory for Plastic Industries, 0122905155, 022905155, Said@ehrecycle.com
2183,Arab Civilization Factory for posters notebooks and computer paper, 0122682734, 022682734, hadara444@yahoo.com
2184,Alhakbani fans factory, 0126081370, 0126081370, M_bah27@hotmail.com
2186,ALHAKAYER FACTORY, 0114980067, 0114980450, info@alhokair.com
2187,Al - Hamad Aluminum Foil Factory , 0138121286, 0138121646, nh@alhamadco.com
2189,Al-Hamd Factory for Handkerchiefs and Drying Paper, 0138121860, 0138121646, nh@alhamadco.com
2192,Al Hamra Factory For Plastic, 0148400901, 048400901, alhamra.pf2011@hotmail.com
2193,Al Huwail Tire Factory, 0126364417, 026364417, smjamaltyrejed@alhowail.com
2195,Al Huwail Tires Factory, 0138122086, 0138121195, dcme-howail@alhowail.com
2196,Al Hayat Medical Products Factory , 0138121315, 0138121506, nationalfactory1@gmail.com
2197,Al Khalidiya Plastic Processing Factory , 0138121461, 0138471678, keroplastz@hotmail.com
2198,Saudi Plastic Hoses Factory, 0138175851, 038175851, ahbtest@gamail.com
2199,Al Khuraiji Perfumes & Cosmetics Factory, 0112650303, 0112651989, capri@alkhuraiji.com
2200,Saudi Steel Tanks Factory -, 0126080577, 026080577, qaisoum@hidada.com.sa
2201,Al Khudair Metal Industries Factory, 0112652244, 0112651294, info@alkhodair.com
2202,Golden Line Factory, 0126081200, 026081200, INFO@GOLDEN-LINE.COM
2204,Al Khafra Industrial Gases Factory, 0114980568, 0114981284, alkhafrahgascs@hotmail.com
2205,Dry mixtures factory, 0114992374, 0114992367, quality@dmc-mix.com
2206,Gulf Technical Factory , 0138334952, 00138376541-105, hassan@gulftechnicalco.com
2207,Gulf Arabian Metal Industries Factory, 0135332293, 035332293, fahad@fahadkgroup.com
2210,Al Khaleej Factory for the production of polyester powder, 0112651977, 0112652032, nasr_fodah@hotmail.com
2211,Gulf Wire Factory, 0112651528, 0112652075, a.karim@unitedwires.com.sa
2212,Gulf Video & Cassette Factory , 0126355134, 026355134, yasser@gulffactory.com
2215,Gulf Factory for Printing Products Manufacturing , 0112651123, 0112651323, yousef@gepcom.com.sa
2217,Gulf Food Packaging Factory, 0135860269, 035860269, alramadan.h@hotmail.com
2218,Gulf Air Filters Factory, 0112651704, 0112651714, sales@gafco-sa.com
2219,Gulf Ice Factory, 0138472999, 0138472268, ice@gulfice.com
2220,Gulf Industrial Valves Factory, 0138826499, 038826499, jkjm@hotmail.com
2221,Al Khaleej Cosmetics & Beauty Care Factory, 0172382615, 072382615, drananzeh@hotmail.com
2222,Al Khaleej Poultry Equipment Factory, 0114992222, 0114992972, gulf_factory@hotmail.com
2223,Al Khaleej Plant For Sediment Contraindications , 0138121121, 0138985525, ggf-sales@zajil.net
2225,Gulf Automotive Factory, 0138080333, 0112625559, alhajeri5@gmail.com
2227,Al Khalifa Metal Industries Factory, 0112650211, 0112650229, mohammad@alkhalefah.com
2228,Al - Khayat Red Bricks Factory, 0126633337, 0126651039, eng.mazenkhayyat@el-khayyat.com
2229,Al - Khair Fences & Barbed Wire Factory, 0126360739, 0126360789, info1@al-abubaker.com.sa
2233,Al Khair Plastic Factory, 0138121353, 0138123881, alkhair@sahara.com
2235,Al Khair Foodstuff Factory, 0126353399, 0126354101, kbashanfar@alkhairtrd.com
2237,Advanced horse factory for mattresses, 0126084331, 026084331, alriyadh_consultant@yahoo.com
2238,Al Dar Home Appliances Factory (Al Babtain) , 0112650700, 0112651391, abei@albabtain.com.sa
2240,Dabal Metal Scaffolding Factory, 0138121111, 0138311113, adnan@sqbdabal.com
2242,Al - Duhaim Factory For Photo Frames & Decoration, 0138121065, 0138948332, dohaim@yahoo.com
2243,Precision Factory for Flanges and Pipe Fittings, 0138123700, 0138123088, pff_accounts3@alsuwaidi.com.sa
2244,Dammam Steel & Concrete Ironwork Factory , 0138121030, 0138121078, dwmfnn@gmceil.com
2249,Al Dahlawi Metal Furniture Factory, 0125204290, 025204290, NDehlawi@hotmail.com
2250,Al Dahlawi Opticals Factory, 0126360505, 0126362004, link@dehlawi.com
2254,Al Dosary Bakery Factory, 0138121671, 0138121071, aldossary2012@hotmail.com
2258,International Paper Industries Factory, 0126354972, 026354972, ipi@zaben.com
2259,Saudi Decoration & Polystyrene Factory, 0112651655, 0112654977, sfpd001@hotmail.com
2260,Al Diwan Plastic Factory, 0135332024, 035332024, dewan@dewanpack.com
2262,Al Diwan Plastic Products Factory , 0114985050, 0114983758, dewanppf@gmail.com
2264,Al - Dhahin Factory for Food, 0126354472, 026354472, O505603715@hotmail.com
2265,Al - Rajeh Plastic Industries Factory - Delta, 0114983210, 0114985098, deltaplastic@hotmail.com
2266,Al - Razi Medical Industries Factory, 0138121135, 0138121061, hiba.almansour@alrazi-pharma.com
2268,Al Rashed Installations & Engineering Industries (National Installations), 0138123912, 0138595253, dandan@alrashedefs.com
2270,Al - Rafid Steel Industries Factory, 0112651954, 0112651954, factory@alrafid.com
2271,Arab Pioneer Factory for Fluorescent Lamp Transformers, 0112651345, 0112651346, alraed@alraed.com.sa
2272,Al Raed Model Factory for Reinforcement Steel, 0125459096, 0125459098, almatrafi.ksa@hotmail.com
2273,Sodium Sulphate Factory National Chemical and Marketing Company, 0112653674, 0112653673, rsf@sandiacids.com
2274,National Ribbons Factory for Computer Modeling Paper, 0112932937, 0112932798, info@daralakl.com
2275,Al Rabeeyan Factory for Hand Carriages and Cleaning Equipments, 0126364055, 026364055, alz7rani@rem-ksa.com
2276,Al Raja Factory for producing computer paper, 0138991188, 0138991177, fathi@salmangroup.com
2277,Al Rehab Modern Perfumes Factory , 0126473272, 026473272, abuali@alrehab.com
2281,Al Reda Food Industries Factory , 0126374839, 026374839, ALREDA_FOOD@YAHOO.COM
2283,Al Reda Factory for carton and packaging, 0138391616, 0138391616, redapress@gmail.com
2284,Al Radwan Ready Mix Concrete Factory , 0125204667, 025204667, ags-redwan@yahoo.com
2285,Al Rummaneh Modern Factory For Plastic & Paper Industries, 0126367000, 026367000, khal2@hotmail.com
2289,Al Rumaih Furniture Factory , 0138121096, 0138121037, afm-furn@cyberia.net.sa
2292,Al Rumaih Factory for Mattresses Manufacturing, 0138121096, 0138121037, afm-furn@cyberia.net.sa
2295,Al - Rmeizan Factory for Resistance Industrial Surfaces, 0112652328, 0112653889, bashmeel@top-stone.com
2296,Al Rowad Chemical Factory, 0112650417, 0112652729, info@pioneerschem.com
2298,Al Rouf Factory For Electrical Supplies, 0138341461, 0138349791, hdjh@h.com
2300,Green Vision Industrial Factory, 0126358132, 026358132, bandar.z@greenvision.com.sa
2301,Modern Automotive Fluid Factory, 0172203328, 0172210211, fg-m9987@hotmail.com
2302,Riyadh Wire Mesh Factory, 0112655556, 0112651668, info@unitedwires.com.sa
2303,Riyadh Refrigeration & Heating Factory, 0112652741, 0112651145, coolfurat@hotmail.com
2304,Riyadh Refractories Factory, 0112605212, 0112650192, wofoor@wofoor.com.sa
2305,Riyadh Furniture Factory , 0114980808, 0114981216, info@athath.com
2306,Riyadh Food Factory , 0112652333, 0112651264, rff@riyadhfoods.com
2308,Riyadh Paints Factory, 0114983210, 0114985098, riyadh.paints@hotmail.com
2310,Riyadh Metal Industries Factory, 0114985330, 0114981152, gm@rimco-sa.com
2311,Riyadh factory for conditions, 0112651155, 0112652802, ref@abaker.com.sa
2312,Riyadh Metal Works Factory, 0114982400, 0114981900, info@rmpf.com
2313,Riyadh Carton Factory, 0112651587, 0112650625, aldbas@wataniaind.com
2316,Riyadh Factory for Mabolia, 0138471849, 0138471849, rffwwmm@hotmail.com
2317,Riyadh Factory for Pasta and Noodles, 0112651428, 0112651264, rff@riyadhfood.com
2318,Riyadh Metal Products Factory, 0114465107, 0114031332, faisal.alandas@hotmail.com
2319,Riyadh Electrical Panels Factory, 0114980391, 0114985879, rfpb@rfpb.com.sa
2320,Riyadh Water Coolers Factory (Al Kawthar), 0114783161, 0114766107, abdol@hotmail.com
2322,Riyadh Dairy Products Factory, 0112650556, 0112651264, bdev@riyadhfoods.com
2323,Al Rayyan Plastic Products Factory, 0112651313, 0112651200, mail@rayanplastic.com
2324,Zamil Metal Manufacturing Factory, 0126380768, 026380768, aotif@alzamilmetal.com
2330,Zamil Ladders Factory, 0138473544, 0138472823, ibrahim@zamilal.com
2331,Zamil Industrial Coating Factory, 0138471555, 0138472823, ibrahim@zamilal.com
2332,Zamil Industrial Coating Factory, 0138473833, 0138472822, Raed.alghamdi@zindco.com.sa
2333,Zamil Central Air Condition Factory, 0138108236, 0138471302, ramzi@zamilindustrial.com
2334,Zamil Air Conditioners & Home Appliances Factory, 0138473333, 0138471302, ramzi@zamilindustrial.com
2335,Al Zahra Paper Products Factory, 0112650707, 0112650566, zahra_hygieni@hotmail.com
2336,Zohour Plastic Factory, 0126361777, 026361777, alzhoor.plast@gmail.com
2338,Al Ziad International Factory For Metal & Crushing Parts, 0114981277, 0114981134, ziadmatic@hotmail.com
2339,Gulf Water Factory, 0135340538, 035340538, genral911@hotmail.com
2340,Al Sudais Plastic Factory, 0114984031, 0114984319, sudais_ali@hotmail.com
2341,Al - Srayea Furniture Factory, 0126917959, 026917959, gmoffice@asiig.com
2342,FAST FACTORY CO. LTD, 0126376378, 026376378, ali.katheri@al-sorayai.com
2351,Fast Textile Factory, 0126913959, 026913959, ali.katheri@al-sorayai.com
2352,Al Saad Steel Factory, 0148404751, 048404751, Saad.steel@hotmail.com
2354,SAUDI IRANIAN CEMENT FACTORY , 0138650999, 0138123734, sibco_y_belts@yahoo.com
2355,Saudi Bus Factory, 0114482266, 0114469761, industry@owaidah.com.sa
2356,El Salam Factory For Metal Products, 0172330322, 0172330218, s_qht990@yahoo.com
2357,AL SALAMA MANUFACTURING CO, 0163390060, 063390060, atif3003@hotmail.com
2358,Road Safety Road Safety Factory, 0114981177, 0114984591, alsalamah@raswaco.com
2359,Safety Factory For Radiators, 0138471287, 0138471963, info@salamaradiator.com
2360,AL SALAMA INDUSTRY ENGINEERING INDUSTRIES, 0138471287, 0138471963, info@salamaradiator.com
2361,Al Sulaim Aluminum Factory, 0112652728, 0112652776, alseleem2011@hotmail.com
2362,FACTORY FOR PHARMACEUTICAL, 0112652017, 0112652530, farook@simat.com.sa
2363,Al Samhan Factory for Saudi pumps, 0114982244, 0114982266, asamhan@cyberia.net.sa
2364,Al Samwa Factory for Drinking Water Production, 0110000000, 1 billion, mhgd-2006@hotmail.com
2365,New Indus Steel Industries Factory, 0122500687, 022500687, alsandansf_0@hotmail.com
2366,Black Arrow Detergents Factory , 0138127000, 0138123647, hsameh67@yahoo.com
2367,Al - Shabramiya Aerosol Factory, 0138121366, 0138121355, safaeros@shabakah.net.sa
2368,El Shady Factory For Polystyrene Products, 0135330277, 035330277, Ash-shadi@hotmail.com
2370,Factory of metal slides for decoration, 0126352233, 026352233, BASULIMAN.MSDF@GMAIL.COM
2371,Middle East Industrial Gas Factory, 0138579922, 0138655184, emil@hotmail.com
2372,Middle East Co , 0138127700, 0138127733, info@mcss.com.sa
2374,Middle East Paints Factory, 0126081339, 026081339, exm@mepaints.com
2377,Middle East Building Materials Factory, 0114980200, 0112652344, info@sarifgp.com
2378,Middle East Steel & Wood Industries Factory, 0112650666, 0112650688, info@metalco.com.sa
2380,Middle East Metal & Plastic Mold Factory, 0112652366, 0112651803, info@mem.com.sa
2382,Middle East Mattresses Factory , 0126082285, 026082285, ALI@SEALYME.COM
2383,National Modern Factory, 0126081825, 026081825, BINMADI@ibnmadi.com
2384,National Modern Factory , 0126377426, 0126081825, binmadi@ibnmadi.com
2386,East Polystyrene Factory, 0112655551, 0112653960, asiri@alshargflex.com
2387,Al - Sharq Agricultural Farm, 0112650004, 0112651756, mail@ibsf.com
2388,Middle East Factory, 0126380627, 0126080609, mhh_66@hotmail.com
2390,Al Sharq Laundry Detergents & Cosmetics Factory, 0126080793, 026080793, alsharq.dtr@gmail.com
2391,Al - Sharq Air Condition Air Conditioner Factory, 0126529000, 0126529090, ibrahim@alfaneyah.com
2392,East & West Factory, 0138472956, 0138473909, nadiewf@atco.com.sa
2393,East & West Factory for Cement & Crusher Parts, 0114989652, 0114989852, mirza.zaffar@yahoo.com
2394,Al Sharqiyah Aluminum Extrusions Factory, 0138572345, 0138572596, a.idrees@ete-group.com
2395,El Sharkeya Factory For Cement Products, 0138339350, 0112651800, alkhaled_999@hotmail.com
2396,The company's specialized chemicals factory for acid and light bases, 0112408738, 0112408739, aalbabtain@schemt.com
2397,Saudi Beverage Industry Company, 0126681231, 026681231, mohammed.darwish@sibco.org
2398,Saudi Indian Refinery Company, 0114779162, 0114790314, saudi_indian_company@yahoo.com
2399,Saudi Oil Company Factory , 0112444424, 0112382593, hkiic1261@hotmail.com
2400,The Saudi Brick Brick and Building Materials Factory, 0126361138, 026361138, h.sabbahy@saudilime.com
2402,Saudi Medical Solutions Factory, 0114989621, 0114989635, info@smsco.com
2403,Saudi Specialized Products Factory, 0133588182, 033588182, falmodlij@sipchem.com
2404,Saudi Specialized Materials Factory , 0112654277, 0112654335, faisal@saudicolmef.com
2405,Saudi Soil Improvement Company, 0138820949, 038820949, timber@ousaimi.com.sa
2406,The company's specialized industrial factory for aluminum and glass, 0138474148, 0138472675, fathi.surkhi@gsi-glass.com
2407,Arab Company for Plastic Water Tanks Ltd., 0126353030, 0126354040, polytank33@hotmail.com
2408,Arab Painting Manufacturing Factory, 0112695959, 0112634999, aelkhereiji@al-arabia.com
2409,Arab Water Pipes Manufacturing Factory, 0138127766, 0138124567, mmd@acwapipe.com
2410,Arab Pipe Factory, 0112650123, 0112650312, info@arabian-pipes.com
2412,Arab Industrial Gases Factory - Al Kharj Branch, 0112702444, 0114715707, ratajaldar@gmail.com
2413,Arab Crystal and Glass Factory, 0114700000, 0114561014, murtada12000@hotmail.com
2414,The company of chemical company for color formations, 0114955384, 0114958507, aaabawazeer@hotmail.com
2415,United Sponge Factory, 0135340752, 035340752, ghmm@gawab.com
2417,The company's advanced factory for industry, 0112766655, 0112766644, Balawi@altoukhi.com
2418,National Company for distinctive products of ice cream, 0126793838, 026793838, alamal@hotmail.com
2419,Factory developed for Arab water tanks plastic, 0126353030, 026357070, polytank33@hotmail.com
2420,Al Shorouq Factory For Ceilings & Aluminum Profiles, 0135875539, 035875539, rise_decoration@yahoo.com
2421,El Sherouk Factory For Steel Industries, 0126081086, 026314422, tariq.ht@hotmail.com
2423,El Sherif Factory For Carton Packages, 0114980233, 0114980294, shareefpack@hotmail.com
2425,Al Shifa Factory for Medical Injection Industry, 0138474284, 0138474033, alsunaid@alshifa.com
2426,Al - Shamrani Metal Industries Factory, 0138471885, 0138471749, bamosa2001@hotmail.com
2427,Al Shams Packing Factory, 0112652154, 0112652152, info@shamsprintpack.com
2428,Al - Shahba Factory For Stainless Steel, 0126365666, 026365666, admin@masscostainless.com
2429,El Solh Factory For Asphalt Products, 0126613161, 0126656880, mbh@hip.com.sa
2430,Al Sabah Factory for the manufacture of sugar, 0112653781, 0112653782, hah11223@gmail.com
2431,Al Sarif Cement Products Factory, 0114029473, 0114029473, info@sarifgp.com
2432,National Grade Factory, 0112651444, 0112652416, gm@rfufco.com.sa
2433,Falcon Factory for Condensers and Heat Exchangers, 0126594064, 026594064, essam_elfeky76@hotmail.com
2435,Industrial Valves Factory, 0138123450, 0138123438, info@ivm-ombsaudi.com
2436,Industrial Valves Factory , 0138123438, 0138123438, malik@ivm-ombsaudi.com
2439,Al - Samaani Factory for Wire and Metal Industries, 0163220055, 0163220056, GM@SGP.COM.SA
2440,Al Samaani Factory for Car and Prefabricated Houses, 0138092838, 0138091375, aosamani@hotmail.com
2441,AL - SAMALI FACTORY FOR THE PRODUCTION OF Nylon Cords , 0126369692, 0126380236, alsoumly@yahoo.com
2446,Saudi Industrialists Factory for Plastic Products, 0112774111, 0112783444, alshamlan123@gmail.com
2447,Saudi Factory for Central Air Conditioning, 0114993256, 0114995695, rasheed_kas2000@yahoo.com
2448,Al - Saeiry Filters Factory, 0111446935, 011446935, ruh@seiary.com
2449,Mill Factory for packing and packing foodstuffs, 0172380396, 072380396, adelata@hotmail.com
2450,International Power Plant for Mechanical Industrial Insulators, 0138471667, 0138471653, hdjh@h.com
2451,Green Energy Factory for Industrial Wood, 0136530529, 036530529, naif_saham2010@hotmail.com
2452,Al - Taliaa Factory For Formica Doors & Breakers & Suspended Ceilings, 0114470145, 0114469352, info@taliahgroup.con
2453,Children 's Toys Factory , 0138954916, 0138989640, pgfksa@yahoo.com
2455,Al Ashoori Factory for Cable Trays, 0112650630, 0112650596, ashco@alashoury.com.sa
2456,Al Ashoori Energy Communications and Metal Industries, 0112650630, 0112650596, ashco@alashoury.com.sa
2457,Al Alamiah Factory For Glass Products, 011498999, 0114989992, pop52@hotmail.com
2458,Al Alamia Furniture Factory, 0126081130, 01126081131, hussain_icf@hotmail.com
2459,International Factory For Chocolate & Biscuits, 0112652764, 0114484012, khaled@alrajhigroup.com
2460,Al Alamia Factory For Electrical Products, 0138122964, 0138123156, said.almoallem@altuwairgi.com
2461,Global Halon Treatment Factory, 0138121308, 038121308, mashan@miic.com.sa
2462,Al Abbas Carton Factory, 0138122226, 0138122229, info.carton@alabbasgrp.com
2463,Al - Abdalrahman Plastic Factory, 0138120992, 038120992, ar_diab@hotmail.com
2464,Al Abdalqader Furniture Factory, 0112652433, 0112652438, firasdeek@gmail.com
2465,Al Obeid Plastic Industries Factory, 0112651888, 0112652777, factory@alobaidgroup.com
2466,Al - Abiry Plastic Pipes Factory, 0126431654, 026431654, bassambm@gmail.com
2468,Obeikan Packaging Factory, 0112651144, 0112650272, zayed@obeikan.com.sa
2469,Obeikan Plastic Sheet Factory, 0112651144, 0112650272, zayed@obeikan.com.sa
2470,Al Otaibi Factory for producing Exfoliators, 0138472815, 0138471375, osco@osfco.com
2471,Al Ajab Metal Galvanization Factory, 0138122262, 0138122160, info@al-ajab.com
2473,El Azman Factory For Soft Paper Production, 0135332366, 035332366, latifazman@yahoo.com
2475,Al - Aqeer Gypsum Factory, 0138342442, 0138345880, info@aluqairgypsum.com
2476,Al Aqeeq Dairy Factory, 0148415326, 048415326, alaqeeqfactory@hotmail.com
2477,Factory Technical Marks, 0126370650, 026370650, aoun@alaoun-trading.com
2480,El Alamein Factory For Sponge, 0172238306, 072238306, albeshri888@hotmail.com
2481,El Alamein Factory For Sanding Products, 0126363413, 026363413, aaaaan@w.cn
2482,Al Olayan Factory For Furniture & Metal Furniture, 0114235733, 0114235733, alolayan_0000@hotmail.com
2483,Al Olayan Aluminum Kitchens Factory, 0112650705, 0112651457, khodrhosa@hotmail.com
2484,Al Omran nails factory, 0135330216, 0135330216, r.alderbas@gmail.com
2486,Al Omrania Factory For Marble & Stone, 0112651937, 0112654226, almudayfer_group@alomraniah.com
2488,Al Omrania Wooden Products Factory, 0114984800, 0114981047, almudayfer_group@alomraniah.com
2489,Al Omri Aluminum Factory, 0172382804, 0172382805, m_alamre@yahoo.com
2491,Gulf Giant Electric Water Heater Factory , 0165335395, 065335395, info@giant.com.sa
2492,The only care factory for plastic products, 0112650450, 0112650450, khalaf1828@gmail.com
2493,Aujan Refreshments Factory , 0138121515, 0138122228, habibm.alhabib@aujan.com.sa
2500,Al - Oudan Metal Coating Factory, 0114483444, 0114471208, odanelectroplanting@hotmail.com
2501,Al Ghadeer Factory for Egg Plates , 0135330228, 035330228, info@alghadeergroup.com
2503,Al Ghadeer Poultry Feed and Feeding Plant, 0135340976, 035340976, ghadeer@sahara.com.sa
2505,Al Ghadeer Factory for Packing Bags and Yarns, 0135331712, 035340976, info@alghadeergroup.com
2509,Al Ghadeer Packing Materials Factory, 0135340976, 035340976, info@alghadeergroup.com
2511,Food factory for freezing vegetables, 0112650909, 0112650606, ali_alsalem@wafrah.com
2513,Food factory for the manufacture of olives and its derivatives, 0112650606, 0112650606, ali_alaslem@wafrah.com
2514,Foodstuff Factory - Food, 0112650909, 0112650606, ali_alsalem@wafrah.com
2517,Food factory for pasta and noodles, 0112650909, 0112650606, ali_alaslem@wafrah.com
2519,Food factory for grain products, 0112650909, 0112650606, ali_alaslem@wafrah.com
2520,Saudi textile factory, 0112651848, 0112652175, ralmashal@yahoo.com
2521,Al - Ghammas Factory for Pumps and Agricultural Mechanisms, 0163220087, 0163220038, alghammas@yaho.com
2523,Al - Ghandoura Packaging & Packaging Factory, 0126369720, 026369720, haitham@gpack.com.sa
2527,Luxury factory for garments, 0114111111, 0114111374, dolly301@hotmail.com
2528,Al Fares Food Factory, 0112653443, 0112653024, hkeseawaa@alfarisfoods.com
2529,El Fatt El Arabia Factory For Engineering & Plastic Products, 0114043633, 0114024886, elfitksa@elfitarabia.com
2530,Al Fotouh Factory for Aluminum Accessories and Yarns, 0112651132, 0112651648, info@alfa-ksa.com
2531,Al Fardan Plastic Factory, 0172382666, 0172239708, alfardan_hussain@hotmail.com
2532,Al Fallah Meat Factory, 0112651055, 0112651367, info@alfolla.com
2534,Al - Falak Factory for Sweets and Biscuits, 0126353831, 026353831, datawilest@yahoo.com
2535,Al Fanar Electrical Systems Factory, 0112651114, 0112652184, ahmad.almadani@alfanar.com
2536,Al Fawzan Steel Factory, 0138122223, 0138122224, khalid_turki@alfozansteel.com
2538,National Fiber Glass Factory, 0138121270, 0138120994, tamerkhatab@yahoo.com
2540,National Fiberglass Factory Ibrahim & Hussam Yousif Al Muhaideb Trading Branch, 0138121270, 0138120994, tamerkhatab@yahoo.com
2541,Al Fayhaa Factory for Leather Products and Paper Printing , 0112652135, 0112651548, alipro@alfayhaa.com.sa
2542,Arabic Vermiculite Factory, 0138471575, 0138471575, moussa@cmci-sa.com
2543,Al Faisal Fish Factory, 0138471712, 0138471644, alfaisalfishescompany@gmail.com
2544,Al Faisal Plastic & Watches Factory           , 0126352796, 026352796, MYFPF@yahoo.com
2546,Al Qassim Glass Factory, 0112652375, 0112652379, alqassimgroup@rediffmail.com
2547,Al-Qafila factory for manufacturing media paintings, 0126363102, 0126363102, admin@caravansigns.com
2549,Al Qahtani Wire & Galvanized Wire Factory, 0126080671, 026080671, info@ahqwires.com
2555,Al Kasr Factory for mattresses and mattresses, 0138598988, 0138598998, abahosain@hotmail.com
2557,Al Qasrallmakhli Furniture Factory, 0112155550, 0112155000, farhat@daralhadaya.com
2558,Al Qassim Factory For Industrial Sponge , 0163220332, 063220332, qassimfoam@hotmail.com
2560,Qassim Paper Products Factory , 0163220005, 0163220004, abufares6666@hotmail.com
2561,Al Qamea Furniture & Decoration Factory, 0126360652, 026360652, admin@topfactory.com
2562,El Qanaa Factory For Producing Grills & Coolers, 0126082014, 026082014, info@alkanaa.com
2564,Metal Cutters Factory, 0138811626, 0138811627, info@mprofiles.net
2565,Metal moldings and spare parts factory, 0112651557, 0112651395, talal@mirkaz.net
2566,Factory chairs and office systems , 0114980808, 0114981216, info@athath.com
2567,Al Kaabi Factory for the manufacture and coating of ironwork, 0138333514, 0138333514, gm@kaabisteel.com
2568,Al Kifah Factory for Concrete and Concrete Containers , 0135340822, 035340822, s.katheer@alkifah.com
2569,Al Kifah Factory for Central Concrete Mixing Plants, 0135340822, 035340822, arsalkatheer@alkifah.com
2571,Al Kifah Factory for Central Concrete Mixing Plants, 0135340822, 035340822, s.katheer@alkifah.com
2572,Modern Chemicals Factory, 0138225596, 0138421658, hdjh@h.com
2575,Chemicals & Minerals Factory , 0138812229, 038812229, jf@uitc.com.sa
2576,Al - lama factory for wood and metal furniture , 0138426003, 0138426003, masfer@allamaa.com
2577,Bright Factory For Wooden & Metal Furniture, 0138290229, 0138050485, masfer@allamaa.com
2578,Al - Latifia Factory For Plastic Packing Mesh, 0112650401, 0112650406, plasticmesh@latifia.com
2579,Factory Paintings and Advertising Publications - Dar Al Bayan, 0112651030, 0112651029, sultan@alhayatpress.com
2581,Factory of bright colors for paints, 0172382670, 072382670, mohmmed_007@hotmail.com
2583,Al Loemi Aluminum Factory wooden furniture and decoration, 0163220620, 0163220473, gamiel2006@yhoo.com
2584,Saudi prefabricated buildings factory, 0138561950, 0138387050, hassain8@gmail.com
2585,United Plastic Industries Factory, 0126360031, 0126360031, llnigull@hotmail.com
2588,United Factory For Plastic Industries, 0114982191, 0114982238, unitedplast@unitedplast.com
2589,United Foods Factory, 0126374311, 0126364737, AATTAS@RANAFOOD.COM
2591,Metwally Metal Industries Factory, 0126369177, 026369177, mitwalli.est@msp.com.sa
2592,Saudi Al - Muljeej Factory , 0138128636, 0138932065, omar.mukhal@hartindosaudi.com
2593,Al - Majd Al - Ethyl Plastic Factory, 0138321778, 0138321778, almagd.alatheel@googlemail.com
2594,Al Majd Electromechanical Works Factory, 0126231802, 026231802, m.affan@almajd-emw.com
2595,Al Majd Asphalt Factory, 0126082173, 026082173, kareamona2@yahoo.com
2596,Al Majdoui Steel Industries Factory, 0138116001, 0138430898, msi@almajdouie.com
